%epinions-config-WI2-W7
%SIM - 1-nt 2-MAC 3-MAS
0	0.6366969673671783	0.9095646216000686
1	0.6013904737203837	0.8591267735331204
2	0.600793272176049	0.8582736284697423
3	0.6012221044854936	0.8588862460546531
4	0.5974148892740873	0.8534473671812054
5	0.5998169586844078	0.8568788949102344
6	0.6179621560410706	0.8828006054198061
7	0.62445589548498	0.892077376053988
8	0.6282127000844906	0.8974442397675961
9	0.6353869298006065	0.9076931393620677
10	0.638771902208161	0.9125288142300179
%SIM - 1-nt 2-MAC 3-MAS
0	0.5135213741131718	0.7485912419977143
1	0.5191938726372525	0.7417038238838136
2	0.5186519973101147	0.7409297162735722
3	0.5157480173025335	0.7367811734055445
4	0.5154499329669565	0.7363553386403916
5	0.5168492974730574	0.738354430791984
6	0.5252361101230608	0.7503355917206134
7	0.5318686346643541	0.7598106267795967
8	0.5379972679201928	0.768565817145046
9	0.54419415759637	0.7774185166823318
10	0.5472738983178109	0.7818181462843692
